"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ablate_priorcount",36,"balanced",13223,1044,TRUE,FALSE
"ablate_fdr",36,"balanced",13223,609,TRUE,FALSE
"ablate_shrinkfloor",36,"balanced",13223,1044,TRUE,FALSE
"ablate_lowinput",36,"balanced",13223,1044,TRUE,FALSE
"batch_removed",36,"balanced",8607,2488,FALSE,FALSE
"batch_ignored",36,"balanced",8607,2875,FALSE,FALSE
"fix_filter",36,"balanced",13173,1034,TRUE,FALSE
"ctc_pipeline",37,"balanced",13304,1571,TRUE,FALSE
"edger_default",37,"balanced",6156,802,TRUE,FALSE
"ablate_filter",37,"balanced",9071,1048,TRUE,FALSE
